name,order_id,hp,attack,defense,special_attack,special_defense,speed
bulbasaur,1,45,49,49,65,65,45
ivysaur,2,60,62,63,80,80,60
venusaur,3,80,82,83,100,100,80
charmander,4,39,52,43,60,50,65
charmeleon,5,58,64,58,80,65,80
charizard,6,78,84,78,109,85,100
squirtle,7,44,48,65,50,64,43
wartortle,8,59,63,80,65,80,58
blastoise,9,79,83,100,85,105,78
caterpie,10,45,30,35,20,20,45
metapod,11,50,20,55,25,25,30
butterfree,12,60,45,50,90,80,70
weedle,13,40,35,30,20,20,50
kakuna,14,45,25,50,25,25,35
beedrill,15,65,90,40,45,80,75
pidgey,16,40,45,40,35,35,56
pidgeotto,17,63,60,55,50,50,71
pidgeot,18,83,80,75,70,70,101
rattata,19,30,56,35,25,35,72
raticate,20,55,81,60,50,70,97
